How and what university students learn through online and face-to-face discussion: conceptions,  intentions and approaches
Stepwise Modification of a Modular Enhancer Underlies Adaptation in a Drosophila Population, The evolution of cis regulatory elements (enhancers) of developmentally regulated genes plays a large role in the evolution of animal morphology. However
Surveying Saccharomyces genomes to identify functional elements by comparative DNA sequence analysis., {Comparative sequence analysis has facilitated the discovery of protein coding genes and important functional sequences within proteins
A core calculus of dependency, Notions of program dependency arise in many settings: security
Towards a unified science of cultural evolution, We suggest that human culture exhibits key Darwinian evolutionary properties
STITCH: interaction networks of chemicals and proteins., The knowledge about interactions between proteins and small molecules is essential for the understanding of molecular and cellular functions. However
RNA-mediated epigenetic programming of a genome-rearrangement pathway, Genome-wide DNA rearrangements occur in many eukaryotes but are most exaggerated in ciliates
Affective neuroscience and psychophysiology: toward a synthesis., This article reviews the author's program of research on the neural substrates of emotion and affective style and their behavioral and peripheral biological correlates. Two core dimensions along which affect is organized are approach and withdrawal. Some of the key circuitry underlying approach and withdrawal components of emotion is reviewed with an emphasis on the role played by different sectors of the prefrontal cortex (PFC) and amygdala. Affective style refers to individual differences in valence-specific features of emotional reactivity and regulation. The different parameters of affective style can be objectively measured using specific laboratory probes. Relations between individual differences in prefrontal and amygdala function and specific components of affective style are illustrated. The final section of the article concludes with a brief discussion of plasticity in the central circuitry of emotion and the possibility that this circuitry can be shaped by training experiences that might potentially promote a more resilient
Analysing the Relationship between Risk and Trust, Among the various human factors impinging upon making a decision  in an uncertain environment
Personalizing Image Search Results on Flickr, The social media site Flickr allows users to upload their photos
Composable memory transactions, Writing concurrent programs is notoriously difficult
MicroRNA control of signal transduction, MicroRNAs (miRNAs) are integral elements in the post-transcriptional control of gene expression. After the identification of hundreds of miRNAs
Stable Algorithms for Link Analysis, The Kleinberg HITS and the Google PageRank algorithms are eigenvector methods for identifying ``authoritative'' or ``influential'' articles
Visualizing Data: Exploring and Explaining Data with the Processing Environment, {Enormous quantities of data go unused or underused today
Deriving the consequences of genomic variants with the Ensembl API and SNP Effect Predictor, SUMMARY: A tool to predict the effect that newly discovered genomic variants have on known transcripts is indispensible in prioritizing and categorizing such variants. In Ensembl
Subgraph centrality in complex networks., We introduce a new centrality measure that characterizes the participation of each node in all subgraphs in a network. Smaller subgraphs are given more weight than larger ones
Conceptions of information literacy: new perspectives and implications, 10.1177/016555150002600602  The authors identify some key definitions of 芒聙聵information                     literacy芒聙聶 and initiatives concerned with imparting information                     literacy skills. They identify limitations in taking an approach to information                     literacy which assumes that it can be boiled down to a list of skills.                     Alternative conceptions of information literacy are described. Previous research                     has identified a lack of information on how students experience and define                     information literacy. The authors describe the student response to a                     one-semester credit-bearing class in information literacy
The duty to recontact: attitudes of genetics service providers., The term ""duty to recontact"" refers to the possible ethical and/or legal obligation of genetics service providers (GSPs) to recontact former patients about advances in research that might be relevant to them. Although currently this practice is not part of standard care
Doing It in Cyberspace: Cultural Sensitivity in Applied Anthropology, This paper examines cultural boundary issues and computer-mediated consciousness
Ontologies Are Us: A Unified Model of Social Networks and Semantics, In our work the traditional bipartite model of ontologies is extended with the social dimension
Binomial leap methods for simulating stochastic chemical kinetics., This paper discusses efficient simulation methods for stochastic chemical kinetics. {B}ased on the tau-leap and midpoint tau-leap methods of {G}illespie [{D}. {T}. {G}illespie
Origins of fractality in the growth of complex networks, Complex networks from such different fields as biology
Hexastore: sextuple indexing for semantic web data management, Despite the intense interest towards realizing the Semantic Web vision
Methods for analyzing deep sequencing expression data: constructing the human and mouse promoterome with deepCAGE data., With the advent of ultra high-throughput sequencing technologies
Understanding fault-tolerant distributed systems, We propose a small number of basic concepts that can be used to explain the architecture of fault-tolerant distributed systems and we discuss a list of architectural issues that we find useful to consider when designing or examining such systems. For each issue we present known solutions and design alternatives
Ten Simple Rules for a Good Poster Presentation, Posters are a key component of communicating your science and an important element in a successful scientific career. Posters
Evolution and the latitudinal diversity gradient: speciation,  extinction and biogeography
Characterizing Privacy in Online Social Networks, Online social networks (OSNs) with half a billion users have dramatically raised concerns on privacy leakage. Users
Rebuilding community ecology from functional traits,  There is considerable debate about whether community ecology will ever produce general principles. We suggest here that this can be achieved but that community ecology has lost its way by focusing on pairwise species interactions independent of the environment. We assert that community ecology should return to an emphasis on four themes that are tied together by a two-step process: how the fundamental niche is governed by functional traits within the context of abiotic environmental gradients; and how the interaction between traits and fundamental niches maps onto the realized niche in the context of a biotic interaction milieu. We suggest this approach can create a more quantitative and predictive science that can more readily address issues of global change."
MADE4: an R package for multivariate analysis of gene expression data., SUMMARY: MADE4
Effects of computer-based clinical decision support systems on physician performance and patient outcomes: a systematic review., Context.-- Many computer software developers and vendors claim that their systems can directly improve clinical decisions. As for other health care interventions
Prometheus: A Methodology for Developing Intelligent Agents, As agents gain acceptance as a technology there is a growing need for practical methods for developing agent applications. This paper presents the Prometheus methodology
Microdroplet-based PCR enrichment for large-scale targeted sequencing, Targeted enrichment of specific loci of the human genome is a promising approach to enable sequencing-based studies of genetic variation in large populations. Here we describe an enrichment approach based on microdroplet PCR
An ontology for context-aware pervasive computing environments, This document describes COBRA-ONT
Generalized Principal Component Analysis (GPCA), This paper presents an algebro-geometric solution to the problem of segmenting an unknown number of subspaces of unknown and varying dimensions from sample data points. We represent the subspaces with a set of homogeneous polynomials whose degree is the number of subspaces and whose derivatives at a data point give normal vectors to the subspace passing through the point. When the number of subspaces is known
Constructing transcriptional regulatory networks, 10.1101/gad.1325605 Biological networks are the representation of multiple interactions within a cell
The virtual geographies of social networks: a comparative analysis of Facebook,  LinkedIn and ASmallWorld
SCOPPI: a structural classification of protein-protein interfaces, {SCOPPI
DEGseq: an R package for identifying differentially expressed genes from RNA-seq data, Summary: High-throughput RNA sequencing (RNA-seq) is rapidly emerging as a major quantitative transcriptome profiling platform. Here
Could quantum mechanics be an approximation to another theory?, We consider the hypothesis that quantum mechanics is an approximation to another
Is searching full text more effective than searching abstracts?, BACKGROUND: With the growing availability of full-text articles online
The cognitive control of emotion., The capacity to control emotion is important for human adaptation. Questions about the neural bases of emotion regulation have recently taken on new importance
The role of emotion in believable agents, Artificial intelligence researchers attempting to create engaging
Similarity measures for tracking information flow, Text similarity spans a spectrum
Handbook of Modern Item Response Theory, Item response theory has become an essential component in the toolkit of every researcher in the behavioral sciences. It provides a powerful means to study individual responses to a variety of stimuli
Active learning for natural language parsing and information extraction, In natural language acquisition
Bibliometrics to webometrics, Bibliometrics has changed out of all recognition since 1958; becoming established as a field
Coordinate regulation of Phase I and II xenobiotic metabolisms by the Ah receptor and Nrf2., The aryl hydrocarbon receptor (AhR) is a ligand-activated transcription factor with important roles in metabolic adaptation
Exercise of Human Agency Through Collective Efficacy, Social cognitive theory adopts an agentic perspective in which individuals are producers of experiences and shapers of events. Among the mechanisms of human agency
A fast flexible docking method using an incremental construction algorithm., We present an automatic method for docking organic ligands into protein binding sites. The method can be used in the design process of specific protein ligands. It combines an appropriate model of the physico-chemical properties of the docked molecules with efficient methods for sampling the conformational space of the ligand. If the ligand is flexible
Techniques for clustering gene expression data., Many clustering techniques have been proposed for the analysis of gene expression data obtained from microarray experiments. However
The Unified Modeling Language Reference Manual, {Written by the three pioneers behind the Unified Modeling Language (UML) standard
Cloud-Coffee: implementation of a parallel consistency-based multiple alignment algorithm in the T-Coffee package and its benchmarking on the Amazon Elastic-Cloud, Summary: We present the first parallel implementation of the T-Coffee consistency-based multiple aligner. We benchmark it on the Amazon Elastic Cloud (EC2) and show that the parallelization procedure is reasonably effective. We also conclude that for a web server with moderate usage (10K hits/month) the cloud provides a cost-effective alternative to in-house deployment.Availability: T-Coffee is a freeware open source package available from http://www.tcoffee.org/homepage.htmlContact: cedric.notredame@crg.es"
Overcast: Reliable Multicasting with an Overlay Network, Overcast is an application-level multicasting system that can be incrementally deployed using today&#039;s Internet infrastructure. These properties stem from Overcast&#039;s implementation as an overlay network. An overlay network consists of a collection of nodes placed at strategic locations in an existing network fabric. These nodes implement a network abstraction on top of the network provided by the underlying substrate network."
Efficient,  multiple-range random walk algorithm to calculate the density of states.
Telling humans and computers apart automatically, m computers
Misconceptions Reconceived: A Constructivist Analysis of Knowledge in Transition, This article uses a critical evaluation of research on student misconceptions in science and mathematics to articulate a constructivist view of learning in which student conceptions play productive roles in the acquisition of expertise. We acknowledge and build on the empirical results of misconceptions research but question accompanying views of the character
Visual receptive field organization, Increasingly systematic approaches to quantifying receptive fields in primary visual cortex
A Wavelet tour of Signal Processing, This book is intended to serve as an invaluable reference for anyone concerned with the application of wavelets to signal processing. It has evolved from material used to teach ""wavelet signal processing"" courses in electrical engineering departments at Massachusetts Institute of Technology and Tel Aviv University
Matching task profiles and user needs in personalized web search, Personalization has been deemed one of the major challenges in information retrieval with a significant potential for providing better search experience to individual users. Especially
Consciousness: converging insights from connectionist modeling and neuroscience, Over the past decade
Next-generation DNA sequencing, DNA sequence represents a single format onto which a broad range of biological phenomena can be projected for high-throughput data collection. Over the past three years
Flexible protein鈥損rotein docking,  Predicting the structure of protein鈥損rotein complexes using docking approaches is a difficult problem whose major challenges include identifying correct solutions
Function prediction and protein networks., In the genomics era
Conceptualizing personal media, The digitalization and personal use of media technologies have destabilized the traditional dichotomization between mass communication and interpersonal communication
Four formal(izable) theories of the firm?, In this essay
What is Social Informatics and Why Does it Matter?, This article discusses some key ideas from social informatics research and ends with a brief discussion of the character of the field today. Readers who wish to understand social informatics by learning about its origins and influences may wish to start in that later section and then return to the beginning for a more substantive focus. This article serves as a brief introduction to social informatics for information technology professionals and researchers
Best practice in primary care pathology: review 4, This eleventh best practice review examines two series of common primary care questions in laboratory medicine: (i) thyroid testing
The Cascade-Correlation Learning Architecture, Cascade-Correlation is a new architecture and supervised learning algorithm for artificial neural networks. Instead of just adjusting the weights in a network of fixed topology
A 454 multiplex sequencing method for rapid and reliable genotyping of highly polymorphic genes in large-scale studies, BACKGROUND:High-throughput sequencing technologies offer new perspectives for biomedical
On the origin of distribution patterns of motifs in biological networks, ABSTRACT: BACKGROUND: Inventories of small subgraphs in biological networks have identified commonly-recurring patterns
Theory of protein folding, Protein folding should be complex. Proteins organize themselves into specific three-dimensional structures
Simplified Support Vector Decision Rules, A Support Vector Machine (SVM) is a universal learning machine whose decision surface is parameterized by a set of support vectors
Network modeling links breast cancer susceptibility and centrosome dysfunction, Many cancer-associated genes remain to be identified to clarify the underlying molecular mechanisms of cancer susceptibility and progression. Better understanding is also required of how mutations in cancer genes affect their products in the context of complex cellular networks. Here we have used a network modeling strategy to identify genes potentially associated with higher risk of breast cancer. Starting with four known genes encoding tumor suppressors of breast cancer
Mutual information relevance networks: functional genomic clustering using pairwise entropy measurements., Increasing numbers of methodologies are available to find functional genomic clusters in RNA expression data. We describe a technique that computes comprehensive pair-wise mutual information for all genes in such a data set. An association with a high mutual information means that one gene is non-randomly associated with another; we hypothesize this means the two are related biologically. By picking a threshold mutual information and using only associations at or above the threshold
Oceanic 18S rDNA sequences from picoplankton reveal unsuspected eukaryotic diversity, Picoplankton - cells with a diameter of less than 3 碌m - are the dominant contributors to both primary production and biomass in open oceanic regions1
Dynamic atomic force microscopy methods, In this report we review the fundamentals
Two-photon laser scanning fluorescence microscopy, Molecular excitation by the simultaneous absorption of two photons provides intrinsic three-dimensional resolution in laser scanning fluorescence microscopy. The excitation of fluorophores having single-photon absorption in the ultraviolet with a stream of strongly focused subpicosecond pulses of red laser light has made possible fluorescence images of living cells and other microscopic objects. The fluorescence emission increased quadratically with the excitation intensity so that fluorescence and photo-bleaching were confined to the vicinity of the focal plane as expected for cooperative two-photon excitation. This technique also provides unprecedented capabilities for three-dimensional
Short read fragment assembly of bacterial genomes., In the last year
Unsupervised Learning, What use can the brain make of the massive flow of sensory information that occurs without any associated rewards or punishments? This question is reviewed in the light of connectionist models of unsupervised learning and some older ideas
The mathematical basis for deterministic quantum mechanics, If there exists a classical
Quantitative mass spectrometry in proteomics: a critical review, The quantification of differences between two or more physiological states of a biological system is among the most important but also most challenging technical tasks in proteomics. In addition to the classical methods of differential protein gel or blot staining by dyes and fluorophores
Assessment of disease named entity recognition on a corpus of annotated sentences., BACKGROUND: In recent years
Nascent RNA Sequencing Reveals Widespread Pausing and Divergent Initiation at Human Promoters, RNA polymerases are highly regulated molecular machines. We present a method (global run-on sequencing
The biological impact of mass-spectrometry-based proteomics., In the past decade
Ranking the whole MEDLINE database according to a large training set using text indexing., BACKGROUND: The MEDLINE database contains over 12 million references to scientific literature
Complexities: Social Studies of Knowledge Practices (Science and Cultural Theory), {Although much recent social science and humanities work has been a revolt against simplification
A History of Instructional Design and Technology: Part I: A History of Instructional Media., This is the first of a two-part article that will discuss the history of the field of instructional design and technology in the United States. A definition of the field is provided and the major features of the definition are identified. A rational for using instructional design and technology as the label for the field is also presented. Events in the history of instructional media
Learning the invariance properties of complex cells from their responses to natural stimuli., Neurons in primary visual cortex are typically classified as either simple or complex. Whereas simple cells respond strongly to grating and bar stimuli displayed at a certain phase and visual field location
Exploiting the co-evolution of interacting proteins to discover interaction specificity., Protein interactions are fundamental to the functioning of cells
Ontology Based Personalized Search, With the exponentially growing amount of information available on the Internet
Investigating the correspondence between transcriptomic and proteomic expression profiles using coupled cluster models, Motivation: Modern transcriptomics and proteomics enable us to survey the expression of RNAs and proteins at large scales. While these data are usually generated and analyzed separately
Comparing protein interaction networks via a graph match-and-split algorithm., We present a method that compares the protein interaction networks of two species to detect functionally similar (conserved) protein modules between them. The method is based on an algorithm we developed to identify matching subgraphs between two graphs. Unlike previous network comparison methods
From XML to RDF: how semantic web technologies will change the design of 'omic' standards, With the ongoing rapid increase in both volume and diversity of 'omic' data (genomics
Flickr distance, This paper presents Flickr distance
The WSLA Framework: Specifying and Monitoring Service Level Agreements for Web Services, We describe a novel framework for specifying and monitoring Service Level Agreements (SLA) for Web Services. SLA monitoring and enforcement become increasingly important in a Web Service environment where enterprise applications and services rely on services that may be subscribed dynamically and on-demand. For economic and practical reasons
SherLoc: high-accuracy prediction of protein subcellular localization by integrating text and protein sequence data, Motivation: Knowing the localization of a protein within the cell helps elucidate its role in biological processes
Searching social networks, A referral system is a multiagent system whose member agents are capable of giving and following referrals. The specific cases of interest arise where each agent has a user. The agents cooperate by giving and taking referrals so each can better help its user locate relevant information. This use of referrals mimics human interactions and can potentially lead to greater effectiveness and efficiency than in single-agent systems.Existing approaches consider what referrals may be given and treat the referring process simply as path search in a static graph. By contrast
Real-time tracking of non-rigid objects using mean shift, A new method for real-time tracking of non-rigid objects seen from a moving camera is proposed. The central computational module is based on the mean shift iterations and finds the most probable target position in the current frame. The dissimilarity between the target model (its color distribution) and the target candidates is expressed by a metric derived from the Bhattacharyya coefficient. The theoretical analysis of the approach shows that it relates to the Bayesian framework while providing a practical
The Potts model, This is a tutorial review on the Potts model aimed at bringing out in an organized fashion the essential and important properties of the standard Potts model. Emphasis is placed on exact and rigorous results
Linking DNA methylation and histone modification: patterns and paradigms, Both DNA methylation and histone modification are involved in establishing patterns of gene repression during development. Certain forms of histone methylation cause local formation of heterochromatin
Global Shadows : Africa in the Neoliberal World Order, {Both on the continent and off
A systematic model to predict transcriptional regulatory mechanisms based on overrepresentation of transcription factor binding profiles, 10.1101/gr.4303406 An important aspect of understanding a biological pathway is to delineate the transcriptional regulatory mechanisms of the genes involved. Two important tasks are often encountered when studying transcription regulation
Stochastic nature of precisely timed spike patterns in visual system neuronal responses., It is not clear how information related to cognitive or psychological processes is carried by or represented in the responses of single neurons. One provocative proposal is that precisely timed spike patterns play a role in carrying such information. This would require that these spike patterns have the potential for carrying information that would not be available from other measures such as spike count or latency. We examined exactly timed (1-ms precision) triplets and quadruplets of spikes in the stimulus-elicited responses of lateral geniculate nucleus (LGN) and primary visual cortex (V1) neurons of the awake fixating rhesus monkey. Large numbers of these precisely timed spike patterns were found. Information theoretical analysis showed that the precisely timed spike patterns carried only information already available from spike count
Cooperation and quality in wikipedia, The rise of the Internet has enabled collaboration and cooperation on anunprecedentedly large scale. The online encyclopedia Wikipedia
Assessing the Evolutionary Impact of Amino Acid Mutations in the Human Genome, Quantifying the distribution of fitness effects among newly arising mutations in the human genome is key to resolving important debates in medical and evolutionary genetics. Here
Spectral clustering of protein sequences., An important problem in genomics is automatically clustering homologous proteins when only sequence information is available. Most methods for clustering proteins are local
Integrating AJAX Approach into GIS Visualization Web Services, As the Web platform continues to mature
Coordinated Reactivation of Distributed Memory Traces in Primate Neocortex, Conversion of new memories into a lasting form may involve the gradual refinement and linking together of neural representations stored widely throughout neocortex. This consolidation process may require coordinated reactivation of distributed components of memory traces while the cortex is ""offline
Time Series Analysis, {The last decade has brought dramatic changes in the way that researchers analyze economic and financial time series. This book synthesizes these recent advances and makes them accessible to first-year graduate students. James Hamilton provides the first adequate text-book treatments of important innovations such as vector autoregressions
Modeling TCP Throughput: A Simple Model and its Empirical Validation, In this paper we develop a simple analytic characterization of the steady state throughput
The Meaning of Einstein's Equation, This is a brief introduction to general relativity
PISCES: a protein sequence culling server., Summary: PISCES is a public server for culling sets of protein sequences from the Protein Data Bank (PDB) by sequence identity and structural quality criteria. PISCES can provide lists culled from the entire PDB or from lists of PDB entries or chains provided by the user. The sequence identities are obtained from PSI-BLAST alignments with position-specific substitution matrices derived from the non-redundant protein sequence database. PISCES therefore provides better lists than servers that use BLAST
Magnet: Supporting Navigation in Semistructured Data Environments, With the growing importance of systems containing arbitrary semistructured relationships
Why are economists sceptical about agent-based simulations?, Despite many years of active research in the field and a number of fruitful applications
HADDOCK: a protein-protein docking approach based on biochemical or biophysical information., The structure determination of protein-protein complexes is a rather tedious and lengthy process
Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA., Homology search is one of the most ubiquitous bioinformatic tasks
The Organization of the Bacterial Genome, Many bacterial cellular processes interact intimately with the chromosome. Such interplay is the major driving force of genome structure or organization. Interactions take place at different scales鈥攍ocal for gene expression
Using noise signature to optimize spike-sorting and to assess neuronal classification quality., We have developed a simple and expandable procedure for classification and validation of extracellular data based on a probabilistic model of data generation. This approach relies on an empirical characterization of the recording noise. We first use this noise characterization to optimize the clustering of recorded events into putative neurons. As a second step
The significance of digital gene expression profiles, Genes differentially expressed in different tissues
Rapid Neural Coding in the Retina with Relative Spike Latencies, Natural vision is a highly dynamic process. Frequent body
ZDOCK: an initial-stage protein-docking algorithm., The development of scoring functions is of great importance to protein docking. Here we present a new scoring function for the initial stage of unbound docking. It combines our recently developed pairwise shape complementarity with desolvation and electrostatics. We compare this scoring function with three other functions on a large benchmark of 49 nonredundant test cases and show its superior performance
Practical optimization, {This book is designed to help problem solvers make the best use of optimization software--i.e.
The RAST Server: rapid annotations using subsystems technology., ABSTRACT: BACKGROUND: The number of prokaryotic genome sequences becoming available is growing steadily and is growing faster than our ability to accurately annotate them. Description: We describe a fully automated service for annotating bacterial and archaeal genomes. The service identifies protein-encoding
ONCOMINE: A Cancer Microarray Database and Integrated Data-Mining Platform, DNA microarray technology has led to an explosion of oncogenomic analyses
Comprehensive evaluation of protein structure alignment methods: scoring by geometric measures., We report the largest and most comprehensive comparison of protein structural alignment methods. Specifically
De novo assembly and analysis of RNA-seq data, We describe Trans-ABySS
End-to-end performance and fairness in multihop wireless backhaul networks, Wireless IEEE 802.11 networks in residences
Personalized recommendation in social tagging systems using hierarchical clustering, Intro i tag permettono una navigazione non legata ad una gerarchia concettuale. sono intuitivi per l'utente
Using protein complexes to predict phenotypic effects of gene mutation, ABSTRACT: BACKGROUND: Predicting the phenotypic effects of mutations is a central goal of genetics research; it has important applications in elucidating how genotype determines phenotype and in identifying human disease genes. RESULTS: Using a wide range of functional genomic data from the yeast Saccharomyces cerevisiae
Gene expression profiling of NRF2-mediated protection against oxidative injury., Nuclear factor E2 p45-related factor 2 (NRF2) contributes to cellular protection against oxidative insults and chemical carcinogens via transcriptional activation of antioxidant/detoxifying enzymes. To understand the molecular basis of NRF2-mediated protection against oxidative lung injury
Identifying regulatory networks by combinatorial analysis of promoter elements., Several computational methods based on microarray data are currently used to study genome-wide transcriptional regulation. Few studies
Automatic extraction of subcategorization from corpora, We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora. Each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for English. An initial experiment
Handbook of Action Research : Participative Inquiry and Practice, {<P>""A remarkable reframing of action research that engages the spirit as well as the mind
Predictive models of molecular machines involved in Caenorhabditis elegans early embryogenesis., Although numerous fundamental aspects of development have been uncovered through the study of individual genes and proteins
Learning Factor Graphs in Polynomial Time and Sample Complexity, We study the computational and sample complexity of parameter and structure learning in graphical models. Our main result shows that the class of factor graphs with bounded degree can be learned in polynomial time and from a polynomial number of training examples
Acceleration of global warming due to carbon-cycle feedbacks in a coupled climate model, The continued increase in the atmospheric concentration of carbon dioxide due to anthropogenic emissions is predicted to lead to significant changes in climate1. About half of the current emissions are being absorbed by the ocean and by land ecosystems2
Creating reference datasets for systems biology applications using text mining., High-throughput experimental techniques are generating large data collections with the aim of identifying novel entities involved in fundamental cellular processes as well as drawing a systematic picture of the relationships between individual components. Determining the accuracy of the resulting data and the selection of a subset of targets for more careful characterizations often requires relying on information provided by manually annotated data repositories. These repositories are incomplete and cover only a small fraction of the knowledge contained in the literature. We propose in this paper the use of text-mining technologies to extract
Level Set Methods and Fast Marching Methods: Evolving Interfaces in Computational Geometry,  Fluid Mechanics
No Sense of Place: The Impact of Electronic Media on Social Behavior, How has television affected our everyday experience? This question has generated endless arguments and speculations
Random walks on graphs: ideas,  techniques and results
A comparative study of six European databases of medically oriented Web resources., Objectives: The paper describes six European medically oriented databases of Web resources
Low Cost,  Scalable Proteomics Data Analysis Using Amazon鈥檚 Cloud Computing Services and Open Source Search Algorithms
A Sound Type System for Secure Flow Analysis, Ensuring secure information flow within programs in the context of multiple sensitivity levels has been widely studied. Especially noteworthy is Denning鈥檚 work in secure flow analysis and the lattice model [6][7]. Until now
Learning collaborative information filters, Predicting items a user would like on the basis of other users鈥?ratings for these items has become a well-established strategy adopted by many rec- ommendation services on the Internet. Although this can be seen as a classification problem
Metagenomic Analysis of Coastal RNA Virus Communities, RNA viruses infect marine organisms from bacteria to whales
High-resolution human core-promoter prediction with CoreBoost_HM, 10.1101/gr.081638.108 Correctly locating the gene transcription start site and the core-promoter is important for understanding transcriptional regulation mechanism. Here we have integrated specific genome-wide histone modification and DNA sequence features together to predict RNA polymerase II core-promoters in the human genome. Our new predictor CoreBoost_HM outperforms existing promoter prediction algorithms by providing significantly higher sensitivity and specificity at high resolution. We demonstrated that even though the histone modification data used in this study are from a specific cell type (CD4+ T-cell)
A metabolic network in the evolutionary context: multiscale structure and modularity., The enormous complexity of biological networks has led to the suggestion that networks are built of modules that perform particular functions and are ""reused"" in evolution in a manner similar to reusable domains in protein structures or modules of electronic circuits. Analysis of known biological networks has revealed several modules
EMAN: semiautomated software for high-resolution single-particle reconstructions., We present EMAN (Electron Micrograph ANalysis)
Representation of Action-Specific Reward Values in the Striatum, The estimation of the reward an action will yield is critical in decision-making. To elucidate the role of the basal ganglia in this process
Understanding individual human mobility patterns, Despite their importance for urban planning [1]
Analysis of a large fMRI cohort: Statistical and methodological issues for group analyses., The aim of group fMRI studies is to relate contrasts of tasks or stimuli to regional brain activity increases. These studies typically involve 10 to 16 subjects. The average regional activity statistical significance is assessed using the subject to subject variability of the effect (random effects analyses). Because of the relatively small number of subjects included
Intensive versus conventional glucose control in critically ill patients., BACKGROUND: The optimal target range for blood glucose in critically ill patients remains unclear. METHODS: Within 24 hours after admission to an intensive care unit (ICU)
On visual formalisms, this article is to extend and combine Euler's two topo-visual formalisms into a tool suitable for dealing with such cases. In the next section
Social tags: meaning and suggestions, This paper aims to quantify two common assumptions about social tagging: (1) that tags are ""meaningful"" and (2) that the tagging process is influenced by tag suggestions. For (1)
An Assessment of Gene Prediction Accuracy in Large DNA Sequences, One of the first useful products from the human genome will be a set of predicted genes. Besides its intrinsic scientific interest
Reconstruction of gene networks using Bayesian learning and manipulation experiments, Motivation: The analysis of high-throughput experimental data
Mining gene expression profiles: expression signatures as cancer phenotypes, {Many examples highlight the power of gene expression profiles
Interpreting the universal phylogenetic tree., The universal phylogenetic tree not only spans all extant life
Temporal Fragmentation of Speciation in Bacteria, Because bacterial recombination involves the occasional transfer of small DNA fragments between strains
Small silencing RNAs: an expanding universe., Since the discovery in 1993 of the first small silencing RNA
Staged configuration through specialization and multilevel configuration of feature models, Feature modeling is a key technique for capturing commonalities and variabilities in system families and product lines. In this article
On the Temperature Dependence of Cooperative Relaxation Properties in Glass-Forming Liquids, A molecular-kinetic theory
Transposases are the most abundant,  most ubiquitous genes in nature
The Quickhull Algorithm for Convex Hulls, The convex hull of a set of points is the smallest convex set that contains the points. This article presents a practial convex hull algorithm that combines the two-dimensional Quickhull algorithm with the general-dimension Beneath-Beyond Algorithm. It is similar to the randomized
Coordination in Software Development., Since its inception
Piggy Bank: Experience the Semantic Web Inside Your Web Browser, The Semantic Web Initiative envisions a Web wherein information is offered free of presentation
Characterizing browsing strategies in the World-Wide Web, This paper presents the results of a study conducted at Georgia Institute of Technology that captured client-side user events of NCSA&#039;s XMosaic. Actual user behavior
Incentive Systems: A Theory of Organizations, Organizations distribute incentives to individuals in order to induce them to contribute activity. Aspects of organizational behavior and change are explained by exploring the differing consequences of different incentive systems. Three types of organizations are distinguished on the basis of three kinds of incentives: material
A careful disorderliness in the proteome: Sites for interaction and targets for future therapies, The community of scientists interested in studying intrinsically unstructured (or disordered) proteins has emerged in recent years. What began as a controversial idea has become an established phenomenon. The new
Measuring the Functional Load of Phonological Contrasts, Frequency counts are a measure of how much use a language makes of a linguistic unit
Optimal Ordered Problem Solver, We present a novel
Genetic Interactions Between Transcription Factors Cause Natural Variation in Yeast, Our understanding of the genetic basis of phenotypic diversity is limited by the paucity of examples in which multiple
Towards extracting flickr tag semantics, We describe an approach for extracting semantics of tags
Speaker Verification Using Adapted Gaussian Mixture Models, In this paper we describe the major elements of MIT Lincoln Laboratory鈥檚 Gaussian mixture model (GMM)-based speaker verification system used successfully in several NIST Speaker Recognition Evaluations (SREs). The system is built around the likelihood ratio test for verification
GenDB--an open source genome annotation system for prokaryote genomes, The flood of sequence data resulting from the large number of current genome projects has increased the need for a flexible
Improved spike-sorting by modeling firing statistics and burst-dependent spike amplitude attenuation: a Markov chain Monte Carlo approach., Spike-sorting techniques attempt to classify a series of noisy electrical waveforms according to the identity of the neurons that generated them. Existing techniques perform this classification ignoring several properties of actual neurons that can ultimately improve classification performance. In this study
YouTube: Online Video and Participatory Culture, YouTube is one of the most well-known and widely discussed sites of participatory media in the contemporary online environment
Induction of Fear Extinction with Hippocampal-Infralimbic BDNF, The extinction of conditioned fear memories requires plasticity in the infralimbic medial prefrontal cortex (IL mPFC)
Supervised Learning of Semantic Classes for Image Annotation and Retrieval, A probabilistic formulation for semantic image annotation and retrieval is proposed. Annotation and retrieval are posed as classification problems where each class is defined as the group of database images labeled with a common semantic label. It is shown that
Gambling in a rigged casino: the adversarial multi-armed bandit problem, In the multi-armed bandit problem
Learning by Googling, The goal of giving a well-defined meaning to information is currently shared by endeavors such as the Semantic Web as well as by current trends within Knowledge Management. They all depend on the large-scale formalization of knowledge and on the availability of formal metadata about information resources. However
Hackers: Heroes of the Computer Revolution, {Steven Levy's classic book explains why the misuse of the word ""hackers"" to describe computer criminals does a terrible disservice to many important shapers of the digital revolution. Levy follows members of an MIT model railroad club--a group of brilliant budding electrical engineers and computer innovators--from the late 1950s to the mid-1980s. These eccentric characters used the term ""hack"" to describe a clever way of improving the electronic system that ran their massive railroad. And as they started designing clever ways to improve computer systems
Repeated Recruitment of LTR Retrotransposons as Promoters by the Anti-Apoptotic Locus NAIP during Mammalian Evolution, Neuronal apoptosis inhibitory protein (NAIP
